warehouse_id,product_id,current_stock,_c0,name,description,category,unit_price,reorder_level,status,supplier_id,created_at,last_updated,location,understocked,overstocked
2002.0,1.0,-5,0,LED TV,42 inch Smart TV,Electronics,35000,10,active,1000.0,2024-01-08 10:00:00,2024-05-08 09:30:00,Delhi,True,False
2005.0,40.0,8,39,Running Socks,Cushioned sport socks,Clothing,1500,12,active,1004.0,2024-05-08 16:30:00,2024-06-08 22:00:00,Kolkata,True,False
2002.0,37.0,-3,36,Wool Sweater,Men's winter wear,Clothing,8300,5,active,1003.0,2024-05-08 15:00:00,2024-06-08 20:30:00,Delhi,True,False
2008.0,18.0,20,17,Men's Running Shoes,Lightweight sneakers,Clothing,3200,20,active,1001.0,2024-04-08 14:30:00,2024-06-08 11:00:00,Noida,False,False
2006.0,16.0,24,15,Organic Honey,Pure wild honey,Grocery,1900,25,active,1003.0,2024-04-08 13:30:00,2024-06-08 10:00:00,Ahmedabad,True,False
2003.0,29.0,8,28,Wall Painting,Abstract art piece,Furniture,4300,10,active,1002.0,2024-05-08 11:00:00,2024-06-08 16:30:00,Hyderabad,True,False
2005.0,15.0,7,14,Coffee Maker,Automatic drip coffee maker,Electronics,3300,6,active,1001.0,2024-04-08 13:00:00,2024-06-08 09:30:00,Kolkata,False,False
2001.0,9.0,16,8,Wireless Earphones,Noise-cancelling earbuds,Electronics,5500,18,active,1004.0,2024-03-08 14:00:00,2024-05-08 10:05:00,Bangalore,True,False
2005.0,30.0,8,29,Organic Olive Oil,Extra virgin quality,Grocery,1800,15,active,1004.0,2024-05-08 11:30:00,2024-06-08 17:00:00,Kolkata,True,False
2000.0,2.0,50,1,Organic Green Tea,Imported organic green tea,Grocery,1200,25,active,1001.0,2024-01-08 11:15:00,2024-05-08 11:15:00,Chennai,False,False
2002.0,6.0,9,5,Cooking Essentials Book,Recipe and kitchen guide,Books,600,8,active,1004.0,2024-02-08 12:00:00,2024-04-08 09:00:00,Delhi,False,False
2004.0,38.0,10,37,Cookware Set,10-piece non-stick,Furniture,3400,11,active,1004.0,2024-05-08 15:30:00,2024-06-08 21:00:00,Mumbai,True,False
2002.0,13.0,3,12,Wooden Dining Table,6-seater solid wood,Furniture,25000,4,active,1002.0,2024-04-08 11:00:00,2024-05-08 18:00:00,Delhi,True,False
2001.0,4.0,6,3,Men's Denim Jacket,Blue denim jacket,Clothing,2500,6,active,1000.0,2024-02-08 10:15:00,2024-05-08 13:19:00,Bangalore,False,False
2000.0,35.0,-5,34,Organic Oats,Pure rolled oats,Grocery,1400,9,active,1002.0,2024-05-08 14:00:00,2024-06-08 19:30:00,Chennai,True,False
2009.0,19.0,24,18,Desk Lamp,LED adjustable lamp,Electronics,1350,30,active,1002.0,2024-04-08 15:00:00,2024-06-08 11:30:00,Coimbatore,True,False
2003.0,11.0,7,10,Casual T-Shirt,Cotton round neck shirt,Unknown,450,7,active,1000.0,2024-04-08 09:30:00,2024-05-08 17:00:00,Hyderabad,False,False
2008.0,34.0,14,33,Cotton Bed Sheet,Queen size set,Furniture,1800,12,active,1001.0,2024-05-08 13:30:00,2024-06-08 19:00:00,Noida,False,False
2012.0,32.0,-2,31,Leather Wallet,Men's genuine leather,Clothing,2200,3,inactive,1003.0,2024-05-08 12:30:00,2024-06-08 18:00:00,Guwahati,True,False
2013.0,23.0,18,22,Women’s Handbag,Leather tote bag,Clothing,3600,15,active,1003.0,2024-04-08 17:00:00,2024-06-08 13:30:00,Trivandrum,False,False
2000.0,7.0,10,6,Office Chair,Unknown,Furniture,7000,5,active,1001.0,2024-03-08 08:17:00,2024-03-08 12:40:00,Chennai,False,False
2005.0,14.0,12,13,Woolen Scarf,Winter warm scarf,Clothing,1200,12,active,1004.0,2024-04-08 12:30:00,2024-06-08 09:00:00,Kolkata,False,False
2007.0,17.0,5,16,Fiction Novel,Best-selling thriller,Books,450,8,active,1002.0,2024-04-08 14:00:00,2024-06-08 10:30:00,Patna,True,False
2001.0,26.0,-6,25,Unknown,World history compendium,Books,1950,8,active,,2024-05-08 09:30:00,2024-06-08 15:00:00,Bangalore,True,False
2000.0,3.0,15,2,Wooden Bookshelf,5-tier sturdy bookshelf,Furniture,8000,5,active,1002.0,2024-02-08 09:18:00,2024-05-08 14:23:00,Chennai,False,True
2011.0,21.0,2,20,Organic Coffee Beans,Dark roast premium,Grocery,1500,3,active,1002.0,2024-04-08 16:00:00,2024-06-08 12:30:00,Jaipur,True,False
2004.0,28.0,7,27,Formal Shirt,White cotton shirt,Clothing,1400,10,active,1001.0,2024-05-08 10:30:00,2024-06-08 16:00:00,Mumbai,True,False
2000.0,1.0,30,0,LED TV,42 inch Smart TV,Electronics,35000,10,active,1000.0,2024-01-08 10:00:00,2024-05-08 09:30:00,Chennai,False,True
2001.0,31.0,-8,30,Travel Guide Book,Europe edition,Books,750,9,active,1001.0,2024-05-08 12:00:00,2024-06-08 17:30:00,Bangalore,True,False
2010.0,20.0,8,19,Kitchen Storage Rack,3-tier stainless steel,Furniture,3500,6,active,1001.0,2024-04-08 15:30:00,2024-06-08 12:00:00,Indore,False,False
2002.0,10.0,6,9,Children’s Story Book,Illustrated fairy tales,Books,800,7,active,1002.0,2024-03-08 15:45:00,2024-05-08 16:00:00,Delhi,True,False
2001.0,2.0,-8,1,Organic Green Tea,Imported organic green tea,Grocery,1200,25,active,1001.0,2024-01-08 11:15:00,2024-05-08 11:15:00,Bangalore,True,False
2012.0,22.0,20,21,Children’s Puzzle Book,Brain teaser games,Books,650,30,active,1004.0,2024-04-08 16:30:00,2024-06-08 13:00:00,Guwahati,True,False
2004.0,12.0,15,11,Laptop Stand,Adjustable height stand,Electronics,1800,10,active,1003.0,2024-04-08 10:30:00,2024-05-08 17:30:00,Mumbai,False,False
2006.0,33.0,7,32,LED Monitor,27 inch Full HD,Electronics,9500,6,active,1004.0,2024-05-08 13:00:00,2024-06-08 18:30:00,Ahmedabad,False,False
2000.0,25.0,-10,24,Fruit Basket,Unknown,Grocery,1100,10,active,1000.0,2024-05-08 09:00:00,2024-06-08 14:30:00,Chennai,True,False
2014.0,24.0,12,23,Office Desk,Wooden top with drawers,Furniture,9500,20,active,1004.0,2024-04-08 17:30:00,2024-06-08 14:00:00,Pune,True,False
2002.0,27.0,-5,26,Smart Watch,Health tracking device,Electronics,9200,7,active,1002.0,2024-05-08 10:00:00,2024-06-08 15:30:00,Delhi,True,False
2001.0,36.0,-4,35,Children’s Toy Set,Educational blocks,Electronics,9000,7,active,1004.0,2024-05-08 14:30:00,2024-06-08 20:00:00,Bangalore,True,False
2003.0,5.0,30,4,Kindle E-reader,6 inch display device,Electronics,8500,20,active,1003.0,2024-02-08 11:25:00,2024-05-08 12:01:00,Hyderabad,False,False
